Region,Area,Ethnicity,Population,Male,Female,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_
Auckland,Okahukura Peninsula,European,1317,0.521126761,0.478873239,0.066801619,0.064777328,0.074898785,0.056680162,0.050607287,0.048582996,0.052631579,0.062753036,0.058704453,0.066801619,0.070850202,0.109311741,0.070850202,0.056680162,0.034412955,0.032388664,0.01417004,0.008097166
Auckland,Okahukura Peninsula,Maori,306,0.521126761,0.478873239,0.066801619,0.064777328,0.074898785,0.056680162,0.050607287,0.048582996,0.052631579,0.062753036,0.058704453,0.066801619,0.070850202,0.109311741,0.070850202,0.056680162,0.034412955,0.032388664,0.01417004,0.008097166
Auckland,Okahukura Peninsula,Pacific Peoples,48,0.521126761,0.478873239,0.066801619,0.064777328,0.074898785,0.056680162,0.050607287,0.048582996,0.052631579,0.062753036,0.058704453,0.066801619,0.070850202,0.109311741,0.070850202,0.056680162,0.034412955,0.032388664,0.01417004,0.008097166
Auckland,Okahukura Peninsula,Asian,48,0.521126761,0.478873239,0.066801619,0.064777328,0.074898785,0.056680162,0.050607287,0.048582996,0.052631579,0.062753036,0.058704453,0.066801619,0.070850202,0.109311741,0.070850202,0.056680162,0.034412955,0.032388664,0.01417004,0.008097166
Auckland,Okahukura Peninsula,Middle Eastern / Latin American / African,3,0.521126761,0.478873239,0.066801619,0.064777328,0.074898785,0.056680162,0.050607287,0.048582996,0.052631579,0.062753036,0.058704453,0.066801619,0.070850202,0.109311741,0.070850202,0.056680162,0.034412955,0.032388664,0.01417004,0.008097166
Auckland,Okahukura Peninsula,Other Ethnicity,12,0.521126761,0.478873239,0.066801619,0.064777328,0.074898785,0.056680162,0.050607287,0.048582996,0.052631579,0.062753036,0.058704453,0.066801619,0.070850202,0.109311741,0.070850202,0.056680162,0.034412955,0.032388664,0.01417004,0.008097166
Auckland,Cape Rodney,European,3249,0.506382979,0.493617021,0.06122449,0.066326531,0.067176871,0.047619048,0.043367347,0.047619048,0.050170068,0.056972789,0.057823129,0.068027211,0.074829932,0.088435374,0.082482993,0.073129252,0.056122449,0.034863946,0.014455782,0.009353741
Auckland,Cape Rodney,Maori,543,0.506382979,0.493617021,0.06122449,0.066326531,0.067176871,0.047619048,0.043367347,0.047619048,0.050170068,0.056972789,0.057823129,0.068027211,0.074829932,0.088435374,0.082482993,0.073129252,0.056122449,0.034863946,0.014455782,0.009353741
Auckland,Cape Rodney,Pacific Peoples,123,0.506382979,0.493617021,0.06122449,0.066326531,0.067176871,0.047619048,0.043367347,0.047619048,0.050170068,0.056972789,0.057823129,0.068027211,0.074829932,0.088435374,0.082482993,0.073129252,0.056122449,0.034863946,0.014455782,0.009353741
Auckland,Cape Rodney,Asian,69,0.506382979,0.493617021,0.06122449,0.066326531,0.067176871,0.047619048,0.043367347,0.047619048,0.050170068,0.056972789,0.057823129,0.068027211,0.074829932,0.088435374,0.082482993,0.073129252,0.056122449,0.034863946,0.014455782,0.009353741
Auckland,Cape Rodney,Middle Eastern / Latin American / African,36,0.506382979,0.493617021,0.06122449,0.066326531,0.067176871,0.047619048,0.043367347,0.047619048,0.050170068,0.056972789,0.057823129,0.068027211,0.074829932,0.088435374,0.082482993,0.073129252,0.056122449,0.034863946,0.014455782,0.009353741
Auckland,Cape Rodney,Other Ethnicity,57,0.506382979,0.493617021,0.06122449,0.066326531,0.067176871,0.047619048,0.043367347,0.047619048,0.050170068,0.056972789,0.057823129,0.068027211,0.074829932,0.088435374,0.082482993,0.073129252,0.056122449,0.034863946,0.014455782,0.009353741
Auckland,Wellsford,European,1533,0.50931677,0.49068323,0.086821705,0.07751938,0.066666667,0.071317829,0.054263566,0.071317829,0.07751938,0.063565891,0.054263566,0.048062016,0.058914729,0.055813953,0.043410853,0.051162791,0.04496124,0.029457364,0.021705426,0.023255814
Auckland,Wellsford,Maori,471,0.50931677,0.49068323,0.086821705,0.07751938,0.066666667,0.071317829,0.054263566,0.071317829,0.07751938,0.063565891,0.054263566,0.048062016,0.058914729,0.055813953,0.043410853,0.051162791,0.04496124,0.029457364,0.021705426,0.023255814
Auckland,Wellsford,Pacific Peoples,102,0.50931677,0.49068323,0.086821705,0.07751938,0.066666667,0.071317829,0.054263566,0.071317829,0.07751938,0.063565891,0.054263566,0.048062016,0.058914729,0.055813953,0.043410853,0.051162791,0.04496124,0.029457364,0.021705426,0.023255814
Auckland,Wellsford,Asian,117,0.50931677,0.49068323,0.086821705,0.07751938,0.066666667,0.071317829,0.054263566,0.071317829,0.07751938,0.063565891,0.054263566,0.048062016,0.058914729,0.055813953,0.043410853,0.051162791,0.04496124,0.029457364,0.021705426,0.023255814
Auckland,Wellsford,Middle Eastern / Latin American / African,9,0.50931677,0.49068323,0.086821705,0.07751938,0.066666667,0.071317829,0.054263566,0.071317829,0.07751938,0.063565891,0.054263566,0.048062016,0.058914729,0.055813953,0.043410853,0.051162791,0.04496124,0.029457364,0.021705426,0.023255814
Auckland,Wellsford,Other Ethnicity,24,0.50931677,0.49068323,0.086821705,0.07751938,0.066666667,0.071317829,0.054263566,0.071317829,0.07751938,0.063565891,0.054263566,0.048062016,0.058914729,0.055813953,0.043410853,0.051162791,0.04496124,0.029457364,0.021705426,0.023255814
Auckland,South Head,European,2277,0.506928406,0.493071594,0.065743945,0.066897347,0.079584775,0.061130334,0.036908881,0.048442907,0.06343714,0.050749712,0.061130334,0.08189158,0.089965398,0.08189158,0.06343714,0.066897347,0.043829296,0.025374856,0.008073818,0.00461361
Auckland,South Head,Maori,483,0.506928406,0.493071594,0.065743945,0.066897347,0.079584775,0.061130334,0.036908881,0.048442907,0.06343714,0.050749712,0.061130334,0.08189158,0.089965398,0.08189158,0.06343714,0.066897347,0.043829296,0.025374856,0.008073818,0.00461361
Auckland,South Head,Pacific Peoples,102,0.506928406,0.493071594,0.065743945,0.066897347,0.079584775,0.061130334,0.036908881,0.048442907,0.06343714,0.050749712,0.061130334,0.08189158,0.089965398,0.08189158,0.06343714,0.066897347,0.043829296,0.025374856,0.008073818,0.00461361
Auckland,South Head,Asian,75,0.506928406,0.493071594,0.065743945,0.066897347,0.079584775,0.061130334,0.036908881,0.048442907,0.06343714,0.050749712,0.061130334,0.08189158,0.089965398,0.08189158,0.06343714,0.066897347,0.043829296,0.025374856,0.008073818,0.00461361
Auckland,South Head,Middle Eastern / Latin American / African,18,0.506928406,0.493071594,0.065743945,0.066897347,0.079584775,0.061130334,0.036908881,0.048442907,0.06343714,0.050749712,0.061130334,0.08189158,0.089965398,0.08189158,0.06343714,0.066897347,0.043829296,0.025374856,0.008073818,0.00461361
Auckland,South Head,Other Ethnicity,36,0.506928406,0.493071594,0.065743945,0.066897347,0.079584775,0.061130334,0.036908881,0.048442907,0.06343714,0.050749712,0.061130334,0.08189158,0.089965398,0.08189158,0.06343714,0.066897347,0.043829296,0.025374856,0.008073818,0.00461361
Auckland,Kaipara Hills,European,1722,0.510670732,0.489329268,0.058015267,0.087022901,0.091603053,0.065648855,0.033587786,0.045801527,0.048854962,0.053435115,0.070229008,0.103816794,0.097709924,0.082442748,0.058015267,0.047328244,0.024427481,0.019847328,0.007633588,0.004580153
